Day of the Year (DOY),Stand transpiration (mm/h),E. parramattensis (mm/h),A. bakeri (mm/h),Radiation (W/m2),T(degC),VPD (kPa),Volumetric water content (m3/m3),Rain (mm)
45.04,0.01069,0.00407,0.00481,0,19.3,0.189921651,0.233,0
45.06,0.01172,0.00244,0.00378,0,19.6,0.170688341,0.233,0
45.08,0.01118,0.00586,0.00484,0,19.9,0.210941118,0.233041667,0
45.1,0.01144,0.00603,0.00569,0,19.4,0.206826803,0.233302083,0
45.13,0.01255,0.00519,0.00599,0,19.2,0.206525631,0.23335,0
45.15,0.0114,0.00534,0.00611,0,19.1,0.180983597,0.232725,0
45.17,0.01169,0.00621,0.00634,0,18.9,0.176593922,0.2321,0
45.19,0.01059,0.00527,0.00613,0,18.3,0.109260443,0.23134375,0
45.21,0.00814,0.00528,0.0064,0,17.1,0.066335542,0.2305625,0
45.23,0.00642,0.00552,0.00506,0,16.8,0.051707523,0.22978125,0
45.25,0.00584,0.00378,0.00435,43,17.8,0.04889667,0.229,0
45.27,0.00505,0.00302,0.00339,255,20,0.184248461,0.229,0
45.29,0.03265,0.00282,0.00302,254,21.2,0.4040192,0.2289375,0
45.31,0.06235,0.00261,0.00244,411,21.4,0.576616152,0.22815625,0
45.33,0.09782,0.01763,0.01502,532,22.4,0.790836687,0.2275,0
45.35,0.11999,0.03365,0.0287,673,22.9,0.904148041,0.2275,0
45.38,0.13321,0.04939,0.04843,474,23.4,1.083816945,0.2261,0
45.4,0.11277,0.07063,0.04936,471,22.9,1.00151783,0.220266667,0
45.42,0.12559,0.0762,0.05701,266,22.5,0.983008885,0.214433333,0
45.44,0.12235,0.05929,0.05348,769,24.1,1.342799439,0.21328125,0
45.46,0.13717,0.05606,0.06953,930,25.2,1.702649455,0.213020833,0
45.48,0.14177,0.05362,0.06873,940,25.5,1.8017274,0.217072917,0
45.5,0.15485,0.06878,0.0684,941,26.1,1.924600691,0.2215,0
45.52,0.17682,0.07634,0.06543,930,27.1,2.120894619,0.216291667,0
45.54,0.14804,0.08317,0.07168,440,25.7,1.84638748,0.211458333,0
45.56,0.14713,0.09013,0.08669,811,26.9,2.092406381,0.2109375,0
45.58,0.14143,0.06834,0.0797,963,27.9,2.347130078,0.210416667,0
45.6,0.15031,0.07721,0.06992,848,27,2.122606319,0.209895833,0
45.63,0.15671,0.07044,0.07099,804,27.7,2.086200493,0.2093,0
45.65,0.12954,0.0665,0.08381,510,26.9,1.682407834,0.208466667,0
45.67,0.14767,0.07327,0.08344,569,27.3,1.740778178,0.207633333,0
45.69,0.14029,0.06646,0.06308,450,26.9,1.689476774,0.2075,0
45.71,0.13809,0.07298,0.07469,325,26.1,1.540354668,0.2075,0
45.73,0.13525,0.0737,0.0666,222,25.5,1.378939382,0.2075,0
45.75,0.11607,0.06597,0.07212,91,24.6,1.235787295,0.2075,0
45.77,0.09256,0.06731,0.06794,15,23.7,1.062713004,0.21296875,0
45.79,0.05595,0.05931,0.05676,0,22.7,0.926263876,0.2179375,0
45.81,0.03783,0.05188,0.04068,0,21.9,0.796026423,0.21715625,0
45.83,0.02819,0.03209,0.02386,0,20.5,0.529014983,0.216375,0
45.85,0.01974,0.0213,0.01652,0,19.9,0.47287899,0.21559375,0
45.88,0.01576,0.01538,0.01282,0,19.6,0.329997459,0.215,0
45.9,0.01368,0.01017,0.00957,0,19.4,0.242796682,0.215,0
45.92,0.01228,0.00808,0.00767,0,19,0.206198956,0.215,0
45.94,0.01026,0.00663,0.00705,0,18.5,0.138267873,0.215,0
45.96,0.01002,0.00661,0.00566,0,18.5,0.106359902,0.215,0
45.98,0.00938,0.00531,0.00495,0,18,0.088694512,0.214760417,0
46,0.00955,0.00488,0.00513,0,17.7,0.064794187,0.2145,0
46.02,0.0102,0.00505,0.00432,0,17.5,0.061998337,0.213458333,0
46.04,0.00916,0.0052,0.00435,0,17.3,0.051359269,0.212479167,0
46.06,0.00881,0.00602,0.00418,0,17.1,0.048776134,0.21221875,0
46.08,0.00903,0.00507,0.00409,0,17.2,0.043189659,0.212,0
46.1,0.00847,0.00458,0.00422,0,17.7,0.040496367,0.212,0
46.13,0.00809,0.00487,0.00416,0,16.9,0.038540187,0.2119,0
46.15,0.00725,0.00469,0.00378,0,16.6,0.03593781,0.211483333,0
46.17,0.00755,0.00402,0.00407,0,16.4,0.035493906,0.211066667,0
46.19,0.00628,0.00368,0.00357,0,16.3,0.031560796,0.21078125,0
46.21,0.00801,0.00352,0.00402,0,16.4,0.029889605,0.210520833,0
46.23,0.00802,0.00257,0.00372,0,16,0.0309767,0.20978125,0
46.25,0.00699,0.00411,0.0039,19,16.2,0.027674998,0.209,0
46.27,0.00633,0.0038,0.00422,132,16.8,0.024896215,0.209260417,0
46.29,0.00307,0.00305,0.00394,247,18.2,0.029235581,0.209458333,0
46.31,0.01872,0.00348,0.00285,353,20.4,0.052579496,0.2089375,0
46.33,0.05177,0.00131,0.00177,494,21.5,0.38590346,0.208333333,0
46.35,0.08464,0.01111,0.00761,595,21.8,0.559571987,0.207291667,0
46.38,0.11399,0.02727,0.0245,693,23.5,0.839411968,0.2065,0
46.4,0.09855,0.04919,0.03545,768,24,1.004779617,0.2065,0
46.42,0.13249,0.06624,0.04776,854,24.6,1.103271451,0.2065,0
46.44,0.12737,0.04969,0.04885,823,25,1.199464395,0.2069375,0
46.46,0.1533,0.06986,0.06262,755,25.3,1.224385367,0.207458333,0
46.48,0.16986,0.06181,0.06556,907,26.2,1.420695926,0.2075,0
46.5,0.1574,0.07828,0.07502,869,27,1.614176329,0.2075,0
46.52,0.15958,0.091,0.07886,935,27.3,1.704587363,0.20046875,0
46.54,0.15459,0.0747,0.0827,889,28.4,2.061881933,0.194,0
46.56,0.17453,0.08747,0.0721,979,28.6,2.140895586,0.194,0
46.58,0.15643,0.0729,0.08169,181,28.1,2.067607458,0.193958333,0
46.6,0.15041,0.08542,0.08912,787,28.7,2.125963916,0.193697917,0
46.63,0.15364,0.07835,0.07807,551,28.7,2.070948214,0.1935,0
46.65,0.15638,0.07441,0.076,177,28,1.836737,0.1935,0
46.67,0.15579,0.07563,0.07801,527,28,1.704733314,0.1935,0
46.69,0.1492,0.08099,0.07539,254,27,1.560844512,0.1930625,0
46.71,0.12886,0.07412,0.08167,320,26.7,1.494933935,0.192541667,0
46.73,0.13248,0.07873,0.07046,211,25.9,1.328947965,0.192020833,0
46.75,0.11256,0.067,0.06186,27,24.6,1.044717938,0.1915,0
46.77,0.06807,0.0651,0.06738,23,24.1,0.936071769,0.191239583,0
46.79,0.04672,0.05804,0.05452,0,23.4,0.782756683,0.190979167,0
46.81,0.03137,0.03576,0.0323,0,22.8,0.658124472,0.19071875,0
46.83,0.02654,0.02564,0.02108,0,22.4,0.612695999,0.191291667,0
46.85,0.02025,0.01624,0.01512,0,22.3,0.654603311,0.196239583,0
46.88,0.01626,0.0135,0.01304,0,20.9,0.340032071,0.1998,0
46.9,0.01302,0.00979,0.01045,0,19.8,0.246516291,0.198966667,0
46.92,0.01162,0.00762,0.00864,0,19.5,0.194526955,0.198133333,0
46.94,0.01112,0.00633,0.00669,0,19.5,0.124406774,0.19821875,0
46.96,0.0091,0.00579,0.00583,0,19.2,0.106593874,0.198479167,0
46.98,0.01117,0.00549,0.00563,0,19.4,0.125894576,0.198260417,0
47,0.00861,0.00425,0.00485,0,18.7,0.111983736,0.198,0
47.02,0.00894,0.00577,0.0054,0,18.7,0.103369602,0.198,0
47.04,0.00832,0.00396,0.00465,0,18.8,0.097506653,0.198,0
47.06,0.00884,0.00378,0.00516,0,19.1,0.075041979,0.198,0
47.08,0.00743,0.00404,0.00429,0,20.2,0.09916004,0.197916667,0
47.1,0.00812,0.00422,0.00462,0,20.4,0.157738487,0.197395833,0
47.13,0.01009,0.00329,0.00414,0,20,0.158593612,0.197,0
47.15,0.0094,0.00374,0.00438,0,19.8,0.131321762,0.197,0
47.17,0.00975,0.00457,0.00552,0,18.3,0.08824882,0.197,0
47.19,0.00798,0.00402,0.00538,0,18.5,0.068070337,0.19634375,0
47.21,0.00648,0.00473,0.00502,0,18.7,0.077527202,0.1955625,0
47.23,0.00632,0.00347,0.00451,0,18.6,0.100595418,0.195979167,0
47.25,0.00743,0.00228,0.00421,14,19.9,0.083449234,0.1965,0
47.27,0.00548,0.00183,0.00449,41,20.7,0.109536208,0.19571875,0
47.29,0.01404,0.00322,0.00421,118,21.1,0.21699581,0.194958333,0
47.31,0.02823,0.00187,0.00361,128,22.1,0.33926053,0.1944375,0
47.33,0.04306,0.00761,0.00643,253,22.2,0.362656393,0.194083333,0
47.35,0.05813,0.01584,0.01239,643,23.2,0.58356833,0.194604167,0
47.38,0.12105,0.02388,0.01918,308,23.1,0.639188208,0.19495,0
47.4,0.09863,0.03085,0.02728,545,23.8,0.740166712,0.194741667,0
47.42,0.10711,0.07463,0.04642,922,25.8,1.142266208,0.194533333,0
47.44,0.1278,0.04884,0.04979,665,26,1.216262007,0.1945,0
47.46,0.15172,0.05206,0.05505,757,26.6,1.350680242,0.1945,0
47.48,0.14971,0.067,0.0608,828,27,1.404404516,0.1945,0
47.5,0.14716,0.08426,0.06746,952,28,1.610444967,0.1945,0
47.52,0.14737,0.0685,0.08121,303,27.1,1.494998231,0.193979167,0
47.54,0.1519,0.07311,0.07406,191,26.9,1.502149852,0.193458333,0
47.56,0.13092,0.07731,0.07005,133,26.8,1.41246626,0.1929375,0
47.58,0.10402,0.06787,0.08403,208,27,1.461291787,0.192458333,0
47.6,0.12117,0.05651,0.07441,316,27.5,1.534405536,0.192197917,0
47.63,0.13455,0.04972,0.0543,273,27.9,1.638491764,0.19205,0
47.65,0.1312,0.06015,0.06103,238,28,1.697190246,0.192258333,0
47.67,0.11778,0.06552,0.06903,342,27.7,1.441442259,0.192466667,0
47.69,0.13488,0.06431,0.0669,237,27.5,1.398909105,0.191625,0
47.71,0.11497,0.05545,0.06233,151,27,1.294185427,0.190583333,0
47.73,0.09468,0.06333,0.07154,73,26.7,1.218999868,0.190739583,0
47.75,0.0708,0.05642,0.05856,42,26.1,1.226890808,0.191,0
47.77,0.05135,0.04754,0.04714,13,25.3,1.13119068,0.1894375,0
47.79,0.03899,0.03568,0.03512,0,24.7,1.066500001,0.187875,0
47.81,0.03197,0.02546,0.02588,0,24.3,0.968573129,0.1863125,0
47.83,0.02606,0.01896,0.02003,0,23.9,0.880558966,0.18525,0
47.85,0.02347,0.01467,0.0173,0,23.4,0.774154961,0.1868125,0
47.88,0.02101,0.01177,0.01428,0,23.2,0.662888297,0.188,0
47.9,0.01875,0.01024,0.01323,0,22.9,0.556398794,0.188,0
47.92,0.01566,0.00973,0.01127,0,22,0.273982313,0.188,0
47.94,0.01092,0.00868,0.01007,0,21,0.198324775,0.18646875,0
47.96,0.00915,0.00726,0.0084,0,20.9,0.177408037,0.184645833,0
47.98,0.00906,0.00491,0.00601,0,20.1,0.159566434,0.185458333,0
48,0.00723,0.00379,0.00536,0,20.3,0.171030514,0.1865,0
48.02,0.00872,0.00391,0.00515,0,20.6,0.128224687,0.184416667,0
48.04,0.00852,0.00223,0.005,0,20.1,0.114981695,0.182520833,0
48.06,0.00747,0.00357,0.00515,0,19.1,0.105941618,0.18278125,0
48.08,0.00832,0.00374,0.00478,0,19.9,0.10894761,0.183041667,0
48.1,0.00886,0.00325,0.00422,0,19.4,0.143879515,0.183302083,0
48.13,0.01003,0.00329,0.00503,0,18.7,0.12705847,0.1836,0
48.15,0.00781,0.00381,0.00505,0,18.8,0.09100621,0.184016667,0
48.17,0.00765,0.00423,0.0058,0,18,0.061879892,0.184433333,0
48.19,0.00695,0.00271,0.00511,0,17.6,0.056345712,0.18428125,0
48.21,0.00725,0.0032,0.00445,0,17.5,0.047998712,0.184020833,0
48.23,0.00749,0.00247,0.00448,0,17.5,0.041998873,0.184239583,0
48.25,0.00574,0.00323,0.00402,19,17.6,0.040246937,0.1845,0
48.27,0.00477,0.00295,0.00454,159,18.2,0.039676861,0.183197917,0
48.29,0.00827,0.00191,0.00383,280,19.6,0.059171958,0.182104167,0
48.31,0.04439,0.0018,0.00297,372,22.6,0.453508581,0.18340625,0
48.33,0.09015,0.00387,0.0044,475,24.5,0.65555445,0.184375,0
48.35,0.10963,0.02518,0.01921,625,24.2,0.77623632,0.18359375,0
48.38,0.11591,0.05129,0.03886,510,24.5,0.891431518,0.1831,0
48.4,0.13041,0.05606,0.05357,402,25.6,1.122185011,0.183516667,0
48.42,0.137,0.0618,0.05411,796,26,1.263170183,0.183933333,0
48.44,0.15032,0.06951,0.0609,880,26.8,1.41246626,0.184,0
48.46,0.15111,0.07003,0.06697,916,27.3,1.516395128,0.184,0
48.48,0.15763,0.06977,0.08055,895,28.1,1.718580144,0.183520833,0
48.5,0.14943,0.07624,0.07486,931,28.5,1.868162452,0.183,0
48.52,0.14091,0.07114,0.08649,914,29.1,2.136048161,0.180135417,0
48.54,0.16132,0.07791,0.07152,940,29.7,2.241217281,0.177458333,0
48.56,0.15852,0.06941,0.0715,943,30.5,2.626912325,0.1769375,0
48.58,0.15788,0.07966,0.08166,838,31.2,2.74421751,0.176541667,0
48.6,0.16453,0.0792,0.07932,664,31,2.605011646,0.176802083,0
48.63,0.16859,0.0768,0.08108,782,30.8,2.384232014,0.17685,0
48.65,0.15966,0.08748,0.07705,654,30.6,2.282247097,0.176225,0
48.67,0.14633,0.08103,0.08756,517,29.8,2.040588166,0.1756,0
48.69,0.13683,0.07406,0.0856,416,29.5,1.997048859,0.17440625,0
48.71,0.13863,0.07218,0.07416,315,28.5,1.848742884,0.173104167,0
48.73,0.13826,0.06754,0.06929,215,27.9,1.754723445,0.171802083,0
48.75,0.12437,0.06444,0.07419,80,26.9,1.618787369,0.1705,0
48.77,0.09276,0.06304,0.07521,11,25.9,1.402223291,0.173625,0
48.79,0.05377,0.0607,0.06367,0,24.7,1.178110466,0.176458333,0
48.81,0.03821,0.04908,0.04368,0,23.7,1.033517592,0.1759375,0
48.83,0.0307,0.02849,0.02528,0,23,0.878839914,0.175166667,0
48.85,0.02344,0.01988,0.01834,0,22,0.682321338,0.173083333,0
48.88,0.02023,0.01476,0.01595,0,20.8,0.548581992,0.1712,0
48.9,0.01739,0.0111,0.01235,0,20.1,0.427074868,0.16995,0
48.92,0.01705,0.01024,0.00999,0,19.7,0.325155501,0.1687,0
48.94,0.014,0.00849,0.00891,0,19.7,0.288518262,0.16828125,0
48.96,0.01183,0.00792,0.00913,0,19.1,0.196433417,0.168020833,0
48.98,0.01132,0.00628,0.00772,0,19,0.184262896,0.168239583,0
49,0.00946,0.00527,0.00656,0,18.9,0.172233579,0.1685,0
49.02,0.00832,0.00542,0.00589,0,18.4,0.131076864,0.1685,0
49.04,0.00942,0.00435,0.00511,0,18.4,0.105707149,0.168708333,0
49.06,0.00864,0.00346,0.00487,0,18,0.086631849,0.1713125,0
49.08,0.00803,0.00449,0.00493,0,17.8,0.085569173,0.1735,0
49.1,0.00774,0.00384,0.0048,0,17.7,0.068843824,0.1735,0
49.13,0.00829,0.00353,0.0045,0,17.7,0.058719732,0.1735,0
49.15,0.00899,0.00301,0.00473,0,17.9,0.055349353,0.1735,0
49.17,0.0073,0.00343,0.00486,0,17.7,0.052645277,0.1735,0
49.19,0.00491,0.00407,0.00492,0,17.6,0.050308671,0.17328125,0
49.21,0.00653,0.0034,0.0039,0,17.5,0.049998659,0.173020833,0
49.23,0.00695,0.00146,0.00345,0,17.4,0.04372756,0.173239583,0
49.25,0.00776,0.0023,0.00424,11,17.3,0.041482487,0.1735,0
49.27,0.0067,0.00268,0.00427,138,17.6,0.034209897,0.173239583,0
49.29,0.00573,0.00307,0.00469,270,18.8,0.036835847,0.1730625,0
49.31,0.03185,0.00285,0.00384,383,22.4,0.32659126,0.17384375,0
49.33,0.08207,0.00182,0.00391,483,22.6,0.688458809,0.174458333,0
49.35,0.12516,0.0173,0.01454,544,22.1,0.750083829,0.174197917,0
49.38,0.1155,0.04382,0.03824,710,24.4,1.090115166,0.174,0
49.4,0.12775,0.07671,0.04845,753,25.1,1.279695416,0.174,0
49.42,0.14455,0.0524,0.06309,791,25.6,1.439537624,0.174,0
49.44,0.16475,0.06547,0.06228,897,25.9,1.488821404,0.173125,0
49.46,0.17356,0.07667,0.06788,922,26.6,1.600677613,0.172083333,0
49.48,0.1812,0.07599,0.08876,778,27.5,1.724832954,0.172479167,0
49.5,0.17031,0.08383,0.08973,677,27.7,1.86016456,0.173,0
49.52,0.17119,0.09091,0.09029,1017,28.5,2.108965096,0.173260417,0
49.54,0.16375,0.09315,0.07717,623,28.6,2.086201173,0.173416667,0
49.56,0.18499,0.08399,0.0872,977,29.3,2.368689799,0.172375,0
49.58,0.14274,0.08388,0.07987,901,29.4,2.394819669,0.1715,0
49.6,0.15405,0.0819,0.10309,610,29.6,2.253066965,0.1715,0
49.63,0.14945,0.07225,0.07049,558,28.9,1.980023343,0.17145,0
49.65,0.16355,0.06871,0.08534,605,28.1,1.798249422,0.171241667,0
49.67,0.14358,0.0759,0.07355,532,27.8,1.766787736,0.171033333,0
49.69,0.13955,0.08105,0.0825,378,26.8,1.521387787,0.171,0
49.71,0.13052,0.07207,0.0715,277,26.4,1.389642125,0.171,0
49.73,0.11268,0.0683,0.07125,99,25,1.148960631,0.17028125,0
49.75,0.09679,0.06592,0.0646,62,24.4,0.968314589,0.1695,0
49.77,0.06622,0.05748,0.0552,25,23.9,0.856919799,0.168458333,0
49.79,0.04137,0.05122,0.04558,0,23.4,0.782756683,0.167479167,0
49.81,0.02825,0.03529,0.03093,0,22.9,0.681588523,0.16721875,0
49.83,0.02399,0.0222,0.01917,0,22.7,0.629419667,0.166791667,0
49.85,0.02239,0.01387,0.01437,0,21.9,0.589164293,0.165489583,0
49.88,0.02088,0.01129,0.01271,0,21.5,0.567354756,0.16425,0
49.9,0.0197,0.01121,0.01118,0,21.3,0.520099337,0.163208333,0
49.92,0.01932,0.00924,0.01165,0,21.1,0.446462644,0.162166667,0
49.94,0.01689,0.00961,0.01009,0,20.4,0.310697019,0.1615625,0
49.96,0.01368,0.00895,0.01037,0,19.9,0.222531289,0.161041667,0
49.98,0.01173,0.0078,0.00908,0,19.7,0.174026888,0.160041667,0
50,0.0115,0.00608,0.0076,0,19.4,0.130390811,0.159,0
50.02,0.00897,0.00465,0.00708,0,19,0.103099478,0.160041667,0
50.04,0.00879,0.00544,0.00607,0,19.1,0.086077565,0.161166667,0
50.06,0.00794,0.00364,0.00533,0,19.3,0.067031171,0.16325,0
50.08,0.00864,0.00422,0.00456,0,19.7,0.066404997,0.165,0
50.1,0.00719,0.00254,0.0054,0,18.9,0.054504297,0.165,0
50.13,0.00724,0.00324,0.0054,0,18.5,0.051052753,0.16495,0
50.15,0.00679,0.00272,0.00447,0,18.7,0.040917134,0.164741667,0
50.17,0.00659,0.00306,0.00419,0,18.7,0.040917134,0.164533333,0
50.19,0.00677,0.00225,0.00454,0,18.5,0.042543961,0.1645,0
50.21,0.00555,0.00217,0.00442,0,18.8,0.034669032,0.1645,0
50.23,0.00545,0.00243,0.00434,0,19.1,0.03752099,0.1645,0
50.25,0.00608,0.00147,0.00407,14,19.3,0.042453075,0.1645,0
50.27,0.00421,0.002,0.00345,43,19.6,0.045516891,0.164239583,0
50.29,0.00439,0.00251,0.00358,92,19.8,0.087547842,0.164041667,0
50.31,0.00957,0.00093,0.00328,173,20.7,0.194731037,0.1645625,0
50.33,0.0346,0.00084,0.00355,216,22.5,0.391031159,0.165,0
50.35,0.06484,0.00338,0.00619,266,22.6,0.480828375,0.165,0
50.38,0.08258,0.02065,0.01395,287,22,0.524254619,0.16505,0
50.4,0.10868,0.03644,0.02841,621,23.4,0.736880833,0.165258333,0
50.42,0.11854,0.04447,0.0381,889,24.5,0.833228086,0.165466667,0
50.44,0.13328,0.0517,0.05698,954,25.2,0.961533745,0.16528125,0
50.46,0.14142,0.06524,0.0533,749,25.9,1.135767559,0.165020833,0
50.48,0.12894,0.07004,0.06324,935,26.9,1.378443393,0.165239583,0
50.5,0.16874,0.06507,0.07634,923,28,1.68210411,0.1655,0
50.52,0.16443,0.0589,0.07004,917,29.1,1.999276715,0.16471875,0
50.54,0.15944,0.09333,0.07541,895,29.9,2.330636103,0.164,0
50.56,0.17545,0.08729,0.07714,862,30.4,2.472930263,0.164,0
50.58,0.14192,0.08099,0.07845,818,31.2,2.698783446,0.163916667,0
50.6,0.16161,0.08452,0.09093,784,31.8,2.939107947,0.163395833,0
50.63,0.15253,0.0704,0.07151,339,31.2,2.726043884,0.16285,0
50.65,0.16042,0.079,0.08261,368,31,2.398407274,0.162225,0
50.67,0.14768,0.07482,0.07771,140,29.3,2.222172904,0.1616,0
50.69,0.11954,0.07728,0.08314,54,28.2,2.041631329,0.1619375,0
50.71,0.08463,0.06464,0.08304,25,27.3,1.610491246,0.162458333,0
50.73,0.06054,0.05698,0.06256,24,26.3,1.343892334,0.161541667,0
50.75,0.04914,0.04159,0.04304,6,25.7,1.240798716,0.1605,0
50.77,0.03542,0.02918,0.03135,2,23.8,0.772475576,0.156333333,0.2
50.79,0.02388,0.0243,0.02484,0,22.1,0.347211949,0.152458333,0.2
50.81,0.01515,0.01729,0.01813,0,20.6,0.164514692,0.1519375,0.4
50.83,0.01116,0.01106,0.01282,0,20.6,0.125805353,0.151458333,0
50.85,0.0105,0.00649,0.00866,0,20.6,0.118547352,0.151197917,0
50.88,0.00876,0.00514,0.00602,0,20.9,0.105952022,0.15105,0
50.9,0.00909,0.00454,0.00595,0,20.8,0.102859124,0.151258333,0
50.92,0.00984,0.00404,0.00472,0,20.4,0.090819129,0.151466667,0
50.94,0.00866,0.00413,0.00496,0,20.2,0.07791146,0.152375,0
50.96,0.00722,0.00423,0.00561,0,20.1,0.075090087,0.153416667,0
50.98,0.00801,0.00353,0.00513,0,20,0.081629065,0.154697917,0
51,0.00844,0.00289,0.00433,0,19.9,0.076495131,0.156,0
51.02,0.00889,0.00335,0.00466,0,19.8,0.08063617,0.156520833,0
51.04,0.00887,0.0034,0.00504,0,20.1,0.082129782,0.156958333,0
51.06,0.00855,0.00421,0.00468,0,20.2,0.09207718,0.1564375,0
51.08,0.00879,0.00388,0.00498,0,20.4,0.095599083,0.156083333,0
51.1,0.0093,0.00326,0.00529,0,20.4,0.107548968,0.156604167,0
51.13,0.00804,0.00367,0.00512,0,20.4,0.102769014,0.15675,0
51.15,0.00868,0.00393,0.00536,0,20.4,0.100379037,0.155708333,0
51.17,0.00926,0.00314,0.00491,0,20,0.097954878,0.154666667,0
51.19,0.00752,0.00372,0.00496,0,19.9,0.078813165,0.155375,0
51.21,0.0068,0.00381,0.00545,0,19.9,0.064904959,0.156416667,0
51.23,0.00748,0.00279,0.00473,0,19.6,0.056896114,0.1565,0
51.25,0.00659,0.00268,0.00412,19,19.5,0.045238827,0.1565,0
51.27,0.00498,0.00258,0.0049,140,20.2,0.04249716,0.157020833,0
51.29,0.01013,0.00298,0.00361,301,20.7,0.109536208,0.157520833,0
51.31,0.02839,0.00161,0.00337,378,22,0.387263462,0.15778125,0
51.33,0.08026,0.00458,0.00554,280,21.8,0.494505477,0.157958333,0
51.35,0.12281,0.01639,0.012,496,22.6,0.611963386,0.157697917,0
51.38,0.12842,0.04253,0.03773,202,23.8,0.781287085,0.1575,0
51.4,0.13184,0.07936,0.04345,642,25.3,1.025141554,0.1575,0
51.42,0.14727,0.06909,0.05934,667,25.6,1.167988481,0.1575,0
51.44,0.14271,0.06824,0.0636,838,26.3,1.343892334,0.15771875,0
51.46,0.14544,0.08183,0.06544,848,26.9,1.495080911,0.157979167,0
51.48,0.14333,0.07325,0.06946,958,27.8,1.695967131,0.152489583,0
51.5,0.16231,0.07326,0.07218,660,27.8,1.781697337,0.1465,0
51.52,0.15186,0.07258,0.07075,932,28.8,1.988239168,0.146239583,0
51.54,0.18383,0.07176,0.09055,846,29.3,2.112285233,0.146020833,0
51.56,0.16436,0.07374,0.07812,855,29.8,2.363227362,0.14628125,0
51.58,0.13567,0.0888,0.09503,817,30.4,2.494622633,0.146416667,0
51.6,0.15851,0.07861,0.08575,809,30.8,2.681706026,0.145895833,0
51.63,0.15159,0.06568,0.06999,487,29.7,2.107910677,0.14535,0
51.65,0.15163,0.07683,0.08168,603,29.5,1.959990221,0.144725,0
51.67,0.15797,0.07755,0.07403,515,29,1.883651276,0.1441,0
51.69,0.15329,0.07428,0.07736,340,28.4,1.725957349,0.14925,0
51.71,0.12991,0.07867,0.0793,183,27.4,1.499892866,0.1555,0
51.73,0.11046,0.074,0.07929,99,26.1,1.334749341,0.155760417,0
51.75,0.0888,0.06161,0.0683,41,25.5,1.157788726,0.1555,0
51.77,0.06458,0.05424,0.05622,3,25,1.051109588,0.15003125,0
51.79,0.04179,0.04689,0.04191,0,24.4,0.913504329,0.144958333,0
51.81,0.03006,0.03464,0.02994,0,23.9,0.809641466,0.1444375,0
51.83,0.02742,0.02247,0.01932,0,23.4,0.754084277,0.144541667,0
51.85,0.0257,0.01459,0.01547,0,22.1,0.667919169,0.147927083,0
51.88,0.0218,0.01334,0.01408,0,21.4,0.5486744,0.1504,0
51.9,0.01718,0.01251,0.01319,0,21.7,0.556183971,0.149983333,0
51.92,0.01683,0.01036,0.01144,0,21.1,0.421520597,0.149566667,0
51.94,0.01633,0.00786,0.00933,0,20.8,0.330618611,0.1481875,0
51.96,0.01285,0.00782,0.00901,0,20.9,0.312928065,0.146625,0
51.98,0.01348,0.00798,0.00835,0,20.7,0.279925866,0.146260417,0
52,0.01405,0.0055,0.00734,0,20.2,0.238456287,0.146,0
52.02,0.01012,0.00548,0.008,0,19.8,0.172791793,0.145479167,0
52.04,0.00999,0.00663,0.00742,0,19.5,0.113097067,0.14525,0
52.06,0.00876,0.00405,0.00607,0,19.4,0.103413401,0.148375,0
52.08,0.00724,0.00451,0.00548,0,20,0.123609727,0.150958333,0
52.1,0.00617,0.00364,0.00512,0,20.3,0.1995356,0.150697917,0
52.13,0.00914,0.00305,0.00419,0,20.4,0.215097937,0.15055,0
52.15,0.01129,0.00246,0.0037,0,20.4,0.19597812,0.150758333,0
52.17,0.01116,0.00356,0.00558,0,20.5,0.20920138,0.150966667,0
52.19,0.01094,0.00497,0.00632,0,20.3,0.1995356,0.15078125,0
52.21,0.01053,0.00467,0.00649,0,19.8,0.133625653,0.150520833,0
52.23,0.00877,0.0044,0.00654,0,19.9,0.095039405,0.150739583,0
52.25,0.00679,0.00451,0.00602,11,19.5,0.076906006,0.151,0
52.27,0.00556,0.00356,0.00521,40,20.1,0.061010695,0.150479167,0
52.29,0.00745,0.00219,0.0046,106,21,0.101641447,0.150020833,0
52.31,0.02936,0.00184,0.00372,153,21.5,0.27345477,0.15028125,0
52.33,0.05091,0.00375,0.0037,392,22.2,0.455987082,0.150583333,0
52.35,0.09445,0.01633,0.01303,335,22.3,0.627775306,0.151104167,0
52.38,0.10691,0.02826,0.02264,676,24.6,0.983082661,0.1516,0
52.4,0.1323,0.04848,0.04597,677,25.3,1.086200142,0.152016667,0
52.42,0.12553,0.05575,0.05116,963,26.7,1.306320775,0.152433333,0
52.44,0.13572,0.06605,0.06626,643,26.5,1.335786795,0.1520625,0
52.46,0.13543,0.0634,0.06213,995,27.3,1.465727988,0.151541667,0
52.48,0.16398,0.07344,0.06228,1044,28,1.670789509,0.151260417,0
52.5,0.16164,0.06048,0.07495,919,28.7,1.84302602,0.151,0
52.52,0.1606,0.07299,0.09099,1020,29,1.963636469,0.145270833,0
52.54,0.17874,0.09095,0.07069,629,29.4,2.10826005,0.14,0
52.56,0.16451,0.08156,0.07904,927,30,2.263662846,0.14,0
52.58,0.15932,0.08264,0.0961,279,29.2,2.104045216,0.14,0
52.6,0.17762,0.08171,0.0828,313,29.8,2.187242346,0.14,0
